
2024/04/15 (16:05:08) | ===> btop++ v.1.2.3
2024/04/15 (16:05:08) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/15 (16:05:12) | ===> btop++ v.1.2.3
2024/04/15 (16:05:12) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/15 (16:05:30) | ===> btop++ v.1.2.3
2024/04/15 (16:05:30) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/15 (16:06:37) | ===> btop++ v.1.2.3
2024/04/15 (16:06:37) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/15 (16:20:23) | ===> btop++ v.1.2.3
2024/04/15 (16:20:23) | ERROR: Exception in runner thread -> Cpu:: -> key not found
